,street,county,state,zip
9901,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223108
9902,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223126
9903,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223126
9904,700  34TH ST S BIRMINGHAM,Jefferson County,AL,352223126
9905,608  34TH ST S BIRMINGHAM,Jefferson County,AL,352223116
9906,3216  6TH AVE S BIRMINGHAM,Jefferson County,AL,35222
9907,3120  4TH AVE S BIRMINGHAM,Jefferson County,AL,352333010
9908,3118  5TH AVE S BIRMINGHAM,Jefferson County,AL,35233
9909,3101  5TH AVE S BIRMINGHAM,Jefferson County,AL,352333520
9910,518  32ND ST S BIRMINGHAM,Jefferson County,AL,352333529
9911,3112  8TH AVE S BIRMINGHAM,Jefferson County,AL,352333506
9912,720  32ND ST S BIRMINGHAM,Jefferson County,AL,352333516
9913,3016  7TH AVE S BIRMINGHAM,Jefferson County,AL,352333503
9914,2900  1ST AVE S BIRMINGHAM,Jefferson County,AL,352333033
9915,2814  1ST AVE S BIRMINGHAM,Jefferson County,AL,352332836
9916,2818  1ST AVE S BIRMINGHAM,Jefferson County,AL,352332836
9917,2929  3RD AVE S BIRMINGHAM,Jefferson County,AL,352332912
9918,57  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051745
9919,57  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051745
9920,57  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051745
9921,57  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051745
9922,57  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051745
9923,57  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051745
9924,2716  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051736
9925,1101  28TH PL S BIRMINGHAM,Jefferson County,AL,352051326
9926,1101  28TH PL S BIRMINGHAM,Jefferson County,AL,352051333
9927,2834  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051846
9928,2905  RHODES CIR S BIRMINGHAM,Jefferson County,AL,352051349
9929,3101  CLIFF RD S BIRMINGHAM,Jefferson County,AL,352051457
9930,3101  CLIFF RD S BIRMINGHAM,Jefferson County,AL,352051457
9931,3101  CLIFF RD S BIRMINGHAM,Jefferson County,AL,352051457
9932,3007  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352052070
9933,3017  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352052086
9934,3015  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352052084
9935,3017  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352052086
9936,3008  13TH AVE S BIRMINGHAM,Jefferson County,AL,352052040
9937,3008  13TH AVE S BIRMINGHAM,Jefferson County,AL,352052040
9938,3004  13TH AVE S BIRMINGHAM,Jefferson County,AL,352052080
9939,1215  29TH ST S BIRMINGHAM,Jefferson County,AL,352051905
9940,1211  29TH ST S BIRMINGHAM,Jefferson County,AL,352051905
9941,1207  29TH ST S BIRMINGHAM,Jefferson County,AL,352051905
9942,2823  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051819
9943,2823  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051819
9944,741  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224430
9945,825  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224432
9946,730  39TH ST S BIRMINGHAM,Jefferson County,AL,352223308
9947,722  39TH ST S BIRMINGHAM,Jefferson County,AL,352223308
9948,716  39TH ST S BIRMINGHAM,Jefferson County,AL,352223308
9949,640  39TH ST S BIRMINGHAM,Jefferson County,AL,352223306
9950,3629  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222401
9951,3600  6TH AVE S BIRMINGHAM,Jefferson County,AL,352222408
9952,3624  6TH AVE S BIRMINGHAM,Jefferson County,AL,352222408
9953,3613  6TH AVE S BIRMINGHAM,Jefferson County,AL,352222407
9954,612  37TH ST S BIRMINGHAM,Jefferson County,AL,352223204
9955,711  39TH ST S BIRMINGHAM,Jefferson County,AL,352223307
9956,4201  WOODVALE RD  BIRMINGHAM,Jefferson County,AL,352222614
9957,3932  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,35222
9958,1448  BURLINGTON AVE  BIRMINGHAM,Jefferson County,AL,352173412
9959,1236  WAVERLY ST  BIRMINGHAM,Jefferson County,AL,352173466
9960,1208  WAVERLY ST  BIRMINGHAM,Jefferson County,AL,352173413
9961,1200  WAVERLY ST  BIRMINGHAM,Jefferson County,AL,352173413
9962,1429  BURLINGTON AVE  BIRMINGHAM,Jefferson County,AL,352173411
9963,1205  WAVERLY ST  BIRMINGHAM,Jefferson County,AL,352173439
9964,1201  WAVERLY ST  BIRMINGHAM,Jefferson County,AL,352173439
9965,1440  AUBURN AVE  TARRANT,Jefferson County,AL,352173402
9966,1175  BIRMINGHAM ST  TARRANT,Jefferson County,AL,352173407
9967,1104  LINTHICUM ST  BIRMINGHAM,Jefferson County,AL,352173453
9968,1148  COOPER ST  BIRMINGHAM,Jefferson County,AL,352173542
9969,1053  LINTHICUM ST  BIRMINGHAM,Jefferson County,AL,352173457
9970,1064  LINTHICUM ST  BIRMINGHAM,Jefferson County,AL,352173454
