,street,county,state,zip
158417,1128  52ND ST S BIRMINGHAM,Jefferson County,AL,352223925
158418,4330  1ST AVE S BIRMINGHAM,Jefferson County,AL,352222108
158419,4741  POWELL AVE S BIRMINGHAM,Jefferson County,AL,352222240
158420,4801  POWELL AVE S BIRMINGHAM,Jefferson County,AL,352222242
158421,4775  1ST AVE S BIRMINGHAM,Jefferson County,AL,35222
158422,4312  2ND AVE S BIRMINGHAM,Jefferson County,AL,35222
158423,4320  2ND AVE S BIRMINGHAM,Jefferson County,AL,352222122
158424,4332  2ND AVE S BIRMINGHAM,Jefferson County,AL,352222122
158425,4305  2ND AVE S BIRMINGHAM,Jefferson County,AL,352222143
158426,4352  3RD AVE S BIRMINGHAM,Jefferson County,AL,352222127
158427,4412  3RD AVE S BIRMINGHAM,Jefferson County,AL,35222
158428,4003  3RD AVE S BIRMINGHAM,Jefferson County,AL,352221916
158429,4001  3RD AVE S BIRMINGHAM,Jefferson County,AL,352221916
158430,3915  3RD AVE S BIRMINGHAM,Jefferson County,AL,352221914
158431,3933  4TH AVE S BIRMINGHAM,Jefferson County,AL,352221920
158432,3905  4TH AVE S BIRMINGHAM,Jefferson County,AL,352221920
158433,4022  5TH AVE S BIRMINGHAM,Jefferson County,AL,352221945
158434,400  41ST ST S BIRMINGHAM,Jefferson County,AL,352221937
158435,608  40TH ST S BIRMINGHAM,Jefferson County,AL,352223312
158436,3815  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222503
158437,3801  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222503
158438,3821  4TH AVE S BIRMINGHAM,Jefferson County,AL,352222501
158439,3809  4TH AVE S BIRMINGHAM,Jefferson County,AL,352222501
158440,3832  4TH AVE S BIRMINGHAM,Jefferson County,AL,352222502
158441,3800  3RD AVE S BIRMINGHAM,Jefferson County,AL,352221824
158442,3820  3RD AVE S BIRMINGHAM,Jefferson County,AL,352221832
158443,3804  2ND AVE S BIRMINGHAM,Jefferson County,AL,35222
158444,3812  2ND AVE S BIRMINGHAM,Jefferson County,AL,352221807
158445,3728  4TH AVE S BIRMINGHAM,Jefferson County,AL,352222420
158446,3725  4TH AVE S BIRMINGHAM,Jefferson County,AL,352222400
158447,3703  4TH AVE S BIRMINGHAM,Jefferson County,AL,352222419
158448,409  37TH ST S BIRMINGHAM,Jefferson County,AL,35222
158449,605  46TH ST S BIRMINGHAM,Jefferson County,AL,352223421
158450,621  46TH ST S BIRMINGHAM,Jefferson County,AL,352223421
158451,629  46TH ST S BIRMINGHAM,Jefferson County,AL,352223421
158452,522  47TH ST S BIRMINGHAM,Jefferson County,AL,352223426
158453,4512  6TH AVE S BIRMINGHAM,Jefferson County,AL,352223402
158454,4347  4TH AVE S BIRMINGHAM,Jefferson County,AL,35222
158455,4353  3RD AVE S BIRMINGHAM,Jefferson County,AL,35222
158456,4417  5TH AVE S BIRMINGHAM,Jefferson County,AL,35222
158457,4242  WOODVALE RD  BIRMINGHAM,Jefferson County,AL,352222615
158458,744  43RD ST S BIRMINGHAM,Jefferson County,AL,352223732
158459,740  43RD ST S BIRMINGHAM,Jefferson County,AL,352223732
158460,706  43RD ST S BIRMINGHAM,Jefferson County,AL,35222
158461,4245  WOODVALE RD  BIRMINGHAM,Jefferson County,AL,352222614
158462,4317  LINWOOD DR  BIRMINGHAM,Jefferson County,AL,352223715
158463,4324  OVERLOOK DR  BIRMINGHAM,Jefferson County,AL,352223740
158464,4517  LINPARK DR  BIRMINGHAM,Jefferson County,AL,352223711
158465,4508  LINWOOD DR  BIRMINGHAM,Jefferson County,AL,352223720
158466,744  46TH ST S BIRMINGHAM,Jefferson County,AL,352223700
158467,805  LINWOOD CIR  BIRMINGHAM,Jefferson County,AL,352223713
158468,808  LINWOOD CIR  BIRMINGHAM,Jefferson County,AL,352223714
158469,4600  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352224415
158470,520  AVENUE Z   BIRMINGHAM,Jefferson County,AL,352145926
158471,1304  6TH PL  BIRMINGHAM,Jefferson County,AL,352145912
158472,609 ,Jefferson County,AL,352145915
158473,1105  6TH PL  BIRMINGHAM,Jefferson County,AL,352145907
158474,617  AVENUE V   BIRMINGHAM,Jefferson County,AL,352145828
158475,605  AVENUE T   BIRMINGHAM,Jefferson County,AL,352145743
158476,608  AVENUE T   BIRMINGHAM,Jefferson County,AL,352145744
158477,917  6TH PL  BIRMINGHAM,Jefferson County,AL,352145803
158478,701  6TH WAY  BIRMINGHAM,Jefferson County,AL,352145729
158479,929  6TH WAY  BIRMINGHAM,Jefferson County,AL,352145820
158480,917  6TH WAY  BIRMINGHAM,Jefferson County,AL,352145820
158481,901  6TH WAY  BIRMINGHAM,Jefferson County,AL,352145820
158482,1402  AVENUE  E BIRMINGHAM,Jefferson County,AL,352181201
158483,1400  AVENUE  E BIRMINGHAM,Jefferson County,AL,352181201
