,street,county,state,zip
168318,5101  AVENUE C   FAIRFIELD,Jefferson County,AL,35064
168319,5125  FARRELL AVE  FAIRFIELD,Jefferson County,AL,350642204
168320,5124  HOLLY CT  FAIRFIELD,Jefferson County,AL,350642208
168321,428  52ND ST  FAIRFIELD,Jefferson County,AL,350642106
168322,260  52ND ST  FAIRFIELD,Jefferson County,AL,350642102
168323,5201  VALLEY RD  FAIRFIELD,Jefferson County,AL,35064
168324,5205  VALLEY RD  FAIRFIELD,Jefferson County,AL,350642172
168325,304  53RD ST  FAIRFIELD,Jefferson County,AL,350642110
168326,5200  AVENUE  E FAIRFIELD,Jefferson County,AL,35064
168327,424  53RD ST  FAIRFIELD,Jefferson County,AL,350642112
168328,528  53RD ST  FAIRFIELD,Jefferson County,AL,350642114
168329,5318  BELROSA TER  FAIRFIELD,Jefferson County,AL,350642157
168330,5309  BELROSA TER  FAIRFIELD,Jefferson County,AL,350642180
168331,5305  BELROSA TER  FAIRFIELD,Jefferson County,AL,350642158
168332,5413  TERRACE AVE  FAIRFIELD,Jefferson County,AL,350642142
168333,321  54TH ST  FAIRFIELD,Jefferson County,AL,350642119
168334,408  55TH ST  FAIRFIELD,Jefferson County,AL,350642130
168335,409  55TH ST  FAIRFIELD,Jefferson County,AL,350642131
168336,507  7TH ST S BESSEMER,Jefferson County,AL,350206376
168337,825  DARTMOUTH AVE  BESSEMER,Jefferson County,AL,350206351
168338,800  DARTMOUTH CT  BESSEMER,Jefferson County,AL,350206352
168339,1017  DARTMOUTH AVE  BESSEMER,Jefferson County,AL,350206436
168340,920  DARTMOUTH CT  BESSEMER,Jefferson County,AL,350206437
168341,820  3RD AVE N BESSEMER,Jefferson County,AL,350206180
168342,326  9TH ST N BESSEMER,Jefferson County,AL,35020
168343,806  4TH AVE N BESSEMER,Jefferson County,AL,350206119
168344,707  3RD AVE N BESSEMER,Jefferson County,AL,350206177
168345,703  3RD AVE N BESSEMER,Jefferson County,AL,350206177
168346,702  2ND AVE N BESSEMER,Jefferson County,AL,35020
168347,727  ROSE AVE  BESSEMER,Jefferson County,AL,350206227
168348,705  ROSE AVE  BESSEMER,Jefferson County,AL,350206227
168349,107  MCCULLEY ST  BESSEMER,Jefferson County,AL,350206918
168350,507  1ST AVE N BESSEMER,Jefferson County,AL,350206204
168351,513  1ST AVE N BESSEMER,Jefferson County,AL,350206204
168352,611  LEWIS AVE  BESSEMER,Jefferson County,AL,350206276
168353,316  7TH ST N BESSEMER,Jefferson County,AL,350206120
168354,614  LEWIS AVE  BESSEMER,Jefferson County,AL,350206275
168355,627  7TH AVE N BESSEMER,Jefferson County,AL,350206149
168356,508  6TH AVE N BESSEMER,Jefferson County,AL,350206140
168357,508  3RD AVE N BESSEMER,Jefferson County,AL,350206221
168358,401  3RD AVE N BESSEMER,Jefferson County,AL,350206220
168359,431  4TH AVE N BESSEMER,Jefferson County,AL,350206230
168360,419  4TH ST N BESSEMER,Jefferson County,AL,35020
168361,301  4TH AVE N BESSEMER,Jefferson County,AL,350206753
168362,306  3RD AVE N BESSEMER,Jefferson County,AL,35020
168363,436  ROLAND AVE  BESSEMER,Jefferson County,AL,350206924
168364,404  BLACK AVE  BESSEMER,Jefferson County,AL,35020
168365,808  BELL ST  BESSEMER,Jefferson County,AL,350207107
168366,807  CENTER ST  BESSEMER,Jefferson County,AL,350207726
168367,630  BELL ST  BESSEMER,Jefferson County,AL,350207103
