,street,county,state,zip
39604,1809  CENTER ST S BIRMINGHAM,Jefferson County,AL,352056340
39605,1821  CENTER ST S BIRMINGHAM,Jefferson County,AL,352056340
39606,1820  1ST ST S BIRMINGHAM,Jefferson County,AL,352056325
39607,1814  1ST PL S BIRMINGHAM,Jefferson County,AL,352056302
39608,55  18TH CT S BIRMINGHAM,Jefferson County,AL,352056330
39609,17  20TH AVE S BIRMINGHAM,Jefferson County,AL,352056336
39610,12  20TH CT S BIRMINGHAM,Jefferson County,AL,352056339
39611,2023  CENTER ST S BIRMINGHAM,Jefferson County,AL,352056344
39612,2021  CENTER WAY S BIRMINGHAM,Jefferson County,AL,352056351
39613,2028  HOLLINS DR  BIRMINGHAM,Jefferson County,AL,352056354
39614,2013  HOLLINS DR  BIRMINGHAM,Jefferson County,AL,352056353
39615,2000  GREEN SPRINGS HWY S BIRMINGHAM,Jefferson County,AL,352056806
39616,132  22ND AVE S BIRMINGHAM,Jefferson County,AL,352056705
39617,2225  2ND ST S BIRMINGHAM,Jefferson County,AL,352056803
39618,2148  GREEN SPRINGS HWY S BIRMINGHAM,Jefferson County,AL,352056808
39619,2220  2ND ST S BIRMINGHAM,Jefferson County,AL,352056815
39620,148  23RD AVE S BIRMINGHAM,Jefferson County,AL,352056741
39621,2248  2ND ST S BIRMINGHAM,Jefferson County,AL,352056815
39622,2112  JOYCE ST  BIRMINGHAM,Jefferson County,AL,352056814
39623,2001  3RD PL S BIRMINGHAM,Jefferson County,AL,352056915
39624,2016  4TH ST S BIRMINGHAM,Jefferson County,AL,352056920
39625,2013  4TH ST S BIRMINGHAM,Jefferson County,AL,352056919
39626,450  21ST AVE S BIRMINGHAM,Jefferson County,AL,352056904
39627,609  22ND AVE S BIRMINGHAM,Jefferson County,AL,352056431
39628,541  22ND AVE S BIRMINGHAM,Jefferson County,AL,352056429
39629,441  22ND AVE S BIRMINGHAM,Jefferson County,AL,352056945
39630,343  22ND AVE S BIRMINGHAM,Jefferson County,AL,35205
39631,309  22ND AVE S BIRMINGHAM,Jefferson County,AL,352056943
39632,1120  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091039
39633,1120  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091023
39634,1120  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091023
39635,1120  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091024
39636,1120  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091024
39637,1120  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091024
39638,1120  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091024
39639,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091025
39640,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091025
39641,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091041
39642,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091041
39643,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091041
39644,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091042
39645,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091042
39646,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091042
39647,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091041
39648,1200  BEACON PKWY E BIRMINGHAM,Jefferson County,AL,352091042
39649,1200  BEACON PKWY E HOMEWOOD,Jefferson County,AL,352091042
39650,501  21ST AVE S BIRMINGHAM,Jefferson County,AL,352056419
39651,1636  BARRY AVE  BIRMINGHAM,Jefferson County,AL,352091718
39652,1619  ASHWOOD LN  HOMEWOOD,Jefferson County,AL,352091254
39653,1621  ASHWOOD LN  HOMEWOOD,Jefferson County,AL,352091254
39654,1639  ASHWOOD LN  HOMEWOOD,Jefferson County,AL,352091258
39655,1661  ASHWOOD LN  BIRMINGHAM,Jefferson County,AL,352091257
39656,1693  ASHWOOD LN  BIRMINGHAM,Jefferson County,AL,352091259
39657,1727  ASHWOOD LN  HOMEWOOD,Jefferson County,AL,352091261
39658,1309  16TH AVE S BIRMINGHAM,Jefferson County,AL,352056020
39659,1605  13TH ST S BIRMINGHAM,Jefferson County,AL,352056601
39660,1607  13TH ST S BIRMINGHAM,Jefferson County,AL,352056601
39661,1621  13TH ST S BIRMINGHAM,Jefferson County,AL,352056601
39662,1625  13TH ST S BIRMINGHAM,Jefferson County,AL,352056601
39663,1310  17TH AVE S BIRMINGHAM,Jefferson County,AL,352056608
39664,1600  13TH ST S BIRMINGHAM,Jefferson County,AL,352056602
39665,1636  13TH ST S BIRMINGHAM,Jefferson County,AL,352056602
39666,1605  CULLOM ST S BIRMINGHAM,Jefferson County,AL,352055909
39667,1615  11TH PL S BIRMINGHAM,Jefferson County,AL,352055907
39668,1618  CULLOM ST S BIRMINGHAM,Jefferson County,AL,352055910
39669,1608  CULLOM ST S BIRMINGHAM,Jefferson County,AL,352055910
39670,1  GLEN IRIS PARK S BIRMINGHAM,Jefferson County,AL,352055905
39671,7  GLEN IRIS PARK S BIRMINGHAM,Jefferson County,AL,35205
39672,21  GLEN IRIS PARK S BIRMINGHAM,Jefferson County,AL,352055905
39673,4  GLEN IRIS PARK S BIRMINGHAM,Jefferson County,AL,352055906
39674,1808  11TH PL S BIRMINGHAM,Jefferson County,AL,352056506
39675,1720  11TH PL S BIRMINGHAM,Jefferson County,AL,352056546
39676,1115  16TH AVE S BIRMINGHAM,Jefferson County,AL,352054603
