,street,county,state,zip
118812,936  8TH ST  PLEASANT GROVE,Jefferson County,AL,351271554
118813,932  8TH ST  PLEASANT GROVE,Jefferson County,AL,351271554
118814,713  10TH LN  PLEASANT GROVE,Jefferson County,AL,351271551
118815,737  11TH AVE  PLEASANT GROVE,Jefferson County,AL,351271512
118816,933  8TH ST  PLEASANT GROVE,Jefferson County,AL,351271560
118817,829  11TH AVE  PLEASANT GROVE,Jefferson County,AL,35127
118818,841  11TH AVE  PLEASANT GROVE,Jefferson County,AL,351271511
118819,908  9TH ST  PLEASANT GROVE,Jefferson County,AL,351272243
118820,802  9TH AVE  PLEASANT GROVE,Jefferson County,AL,35127
118821,913  10TH ST  PLEASANT GROVE,Jefferson County,AL,351272203
118822,800  11TH PL  PLEASANT GROVE,Jefferson County,AL,351272113
118823,1124  8TH AVE  PLEASANT GROVE,Jefferson County,AL,351272135
118824,732  12TH ST  PLEASANT GROVE,Jefferson County,AL,351272107
118825,1189  7TH AVE  PLEASANT GROVE,Jefferson County,AL,351272150
118826,731  12TH ST  PLEASANT GROVE,Jefferson County,AL,351272145
118827,735  12TH ST  PLEASANT GROVE,Jefferson County,AL,351272145
118828,116  VICTORIA LN  PLEASANT GROVE,Jefferson County,AL,351271959
118829,160  VICTORIA LN  PLEASANT GROVE,Jefferson County,AL,351271959
118830,149  VICTORIA LN  PLEASANT GROVE,Jefferson County,AL,351271958
118831,101  VICTORIA LN  PLEASANT GROVE,Jefferson County,AL,351271958
118832,124  ANNIE LN  PLEASANT GROVE,Jefferson County,AL,351271953
118833,121  ANNIE LN  PLEASANT GROVE,Jefferson County,AL,351271954
118834,105  ANNIE LN  PLEASANT GROVE,Jefferson County,AL,351271954
118835,729  HOLLAND DR  PLEASANT GROVE,Jefferson County,AL,351271969
118836,19  OAK PL  PLEASANT GROVE,Jefferson County,AL,351271800
118837,22  OAK PL  PLEASANT GROVE,Jefferson County,AL,351271813
118838,109  5TH WAY  PLEASANT GROVE,Jefferson County,AL,351272826
118839,604  PLEASANT GROVE RD  PLEASANT GROVE,Jefferson County,AL,351272802
118840,159  PARK RD  PLEASANT GROVE,Jefferson County,AL,35127
118841,113  8TH PL  PLEASANT GROVE,Jefferson County,AL,351271810
118842,107  PARK RD  PLEASANT GROVE,Jefferson County,AL,351271820
118843,117  PARK RD  PLEASANT GROVE,Jefferson County,AL,351271820
118844,35  PARK RD  PLEASANT GROVE,Jefferson County,AL,351271963
118845,113  8TH ST  PLEASANT GROVE,Jefferson County,AL,351271811
118846,203  5TH WAY  PLEASANT GROVE,Jefferson County,AL,351271714
118847,212  PARK RD  PLEASANT GROVE,Jefferson County,AL,351271861
118848,222  PARK RD  PLEASANT GROVE,Jefferson County,AL,35127
118849,1133  3RD PLZ  PLEASANT GROVE,Jefferson County,AL,351272001
118850,1129  3RD TERRACE CIR  PLEASANT GROVE,Jefferson County,AL,351272050
118851,1136  3RD PLZ  PLEASANT GROVE,Jefferson County,AL,351272012
118852,1128  3RD PLZ  PLEASANT GROVE,Jefferson County,AL,35127
118853,350  11TH PL  PLEASANT GROVE,Jefferson County,AL,351272017
118854,338  11TH PL  PLEASANT GROVE,Jefferson County,AL,351272017
118855,381  12TH ST  PLEASANT GROVE,Jefferson County,AL,351272025
118856,1106  2ND AVE  PLEASANT GROVE,Jefferson County,AL,351271946
118857,1008  4TH AVE  PLEASANT GROVE,Jefferson County,AL,351272020
118858,911  4TH TER  PLEASANT GROVE,Jefferson County,AL,351272039
118859,1019  4TH TER  PLEASANT GROVE,Jefferson County,AL,351272038
118860,1010  4TH CT  PLEASANT GROVE,Jefferson County,AL,351272021
118861,908  4TH CT  PLEASANT GROVE,Jefferson County,AL,351272069
118862,920  4TH TER  PLEASANT GROVE,Jefferson County,AL,351272010
