,street,county,state,zip
148516,6640  ROBILLARD DR  BESSEMER,Jefferson County,AL,350226858
148517,3900  LINDSEY LOOP RD  BESSEMER,Jefferson County,AL,35022
148518,3120  MCCLENDON CHAPEL RD  BESSEMER,Jefferson County,AL,350224168
148519,500  AVIATION RD SE BESSEMER,Jefferson County,AL,350226640
148520,2544  OAKLEAF CIR  HELENA,Jefferson County,AL,350227239
148521,2511  OAKLEAF CIR  HELENA,Jefferson County,AL,350227240
148522,2559  OAKLEAF CIR  HELENA,Jefferson County,AL,350227240
148523,6507  CREEK CIR  BESSEMER,Jefferson County,AL,350226495
148524,6519  CREEK CIR  BESSEMER,Jefferson County,AL,350226495
148525,6612  RICE CIR  BESSEMER,Jefferson County,AL,350226496
148526,6609  RICE CIR  BESSEMER,Jefferson County,AL,350226496
148527,3294  MORGAN RD  BESSEMER,Jefferson County,AL,350226604
148528,3311  MORGAN RD  BESSEMER,Jefferson County,AL,350226613
148529,3395  OLD GAP RD  BESSEMER,Jefferson County,AL,350226623
148530,2037  YANCY DR  BESSEMER,Jefferson County,AL,350228200
148531,2000  YANCY DR  BESSEMER,Jefferson County,AL,350226599
148532,2644  PIEDMONT DR  HELENA,Jefferson County,AL,350227232
148533,2717  ROSEBAY LN  HELENA,Jefferson County,AL,350227245
148534,2619  TRILLIUM CIR  HELENA,Jefferson County,AL,350227250
148535,900  MITCHELL FIELD RD SE BESSEMER,Jefferson County,AL,350226658
148536,2724  OAKLEAF CIR  HELENA,Jefferson County,AL,350227223
148537,2745  OAKLEAF CIR  HELENA,Jefferson County,AL,350227223
148538,2733  OAKLEAF CIR  HELENA,Jefferson County,AL,350227223
148539,2721  OAKLEAF CIR  HELENA,Jefferson County,AL,350227223
148540,2706  PIEDMONT DR  HELENA,Jefferson County,AL,350227235
148541,2649  OAKLEAF CIR  HELENA,Jefferson County,AL,350227230
148542,2744  PIEDMONT DR  HELENA,Jefferson County,AL,350227235
148543,2768  PIEDMONT DR  HELENA,Jefferson County,AL,350227235
148544,2788  PIEDMONT DR  HELENA,Jefferson County,AL,350227235
148545,2800  PIEDMONT DR  HELENA,Jefferson County,AL,350227254
148546,2749  PIEDMONT DR  HELENA,Jefferson County,AL,350227234
148547,2812  ASTER LAKE RD  HELENA,Jefferson County,AL,350227259
148548,2735  ROSEBAY LN  HELENA,Jefferson County,AL,350227245
148549,2767  ROSEBAY LN  HELENA,Jefferson County,AL,350227245
148550,1000  GREENDALE DR  BESSEMER,Jefferson County,AL,350227262
148551,1050  GREENDALE DR  HELENA,Jefferson County,AL,350227262
148552,1029  GREENDALE DR  HELENA,Jefferson County,AL,350227263
148553,1021  GREENDALE DR  HELENA,Jefferson County,AL,350227263
148554,2983  GLEN GATE DR  HELENA,Jefferson County,AL,350224329
148555,2967  GLEN GATE DR  HELENA,Jefferson County,AL,350224329
148556,2980  GLEN GATE DR  HELENA,Jefferson County,AL,350224324
148557,2988  GLEN GATE DR  HELENA,Jefferson County,AL,350224324
148558,2944  GLEN GATE DR  HELENA,Jefferson County,AL,350224324
148559,2878  GLEN GATE CIR  HELENA,Jefferson County,AL,350224335
148560,2870  GLEN GATE CIR  HELENA,Jefferson County,AL,350224335
148561,2017  LAUREL LAKES LN  HELENA,Jefferson County,AL,350227939
148562,4664 S SHADES CREST RD  HELENA,Jefferson County,AL,350224340
148563,3074  LAUREL LAKES CV  HELENA,Jefferson County,AL,350227944
148564,3093  LAUREL LAKES CV  HELENA,Jefferson County,AL,350227935
148565,1024  ASBURY CIR  HELENA,Jefferson County,AL,350224346
148566,1048  ASBURY CIR  HELENA,Jefferson County,AL,350224346
148567,4653 S SHADES CREST RD  HELENA,Jefferson County,AL,35022
148568,1094  ASBURY CIR  HELENA,Jefferson County,AL,350224346
148569,1001  ASBURY CIR  HELENA,Jefferson County,AL,350221300
148570,1021  ASBURY CIR  HELENA,Jefferson County,AL,350221300
148571,1069  ASBURY CIR  HELENA,Jefferson County,AL,350221300
148572,1083  ASBURY CIR  HELENA,Jefferson County,AL,350221300
148573,1105  ASBURY CIR  HELENA,Jefferson County,AL,350224348
148574,1090  GREENDALE DR  BESSEMER,Jefferson County,AL,35022
148575,1085  GREENDALE DR  HELENA,Jefferson County,AL,350227263
148576,1081  GREENDALE DR  HELENA,Jefferson County,AL,350227263
148577,3019  LAUREL LAKES CV  HELENA,Jefferson County,AL,350227935
148578,3038  LAUREL LAKES CV  HELENA,Jefferson County,AL,350227944
148579,4000  LONG LEAF LAKE TRCE  HELENA,Jefferson County,AL,350224366
148580,6000  LONG LEAF LAKE TRL  HELENA,Jefferson County,AL,350224365
148581,6032  LONG LEAF LAKE TRL  HELENA,Jefferson County,AL,350224365
148582,4042  LONG LEAF LAKE TRCE  HELENA,Jefferson County,AL,350224366
148583,4033  LONG LEAF LAKE TRCE  HELENA,Jefferson County,AL,350224364
148584,4013  LONG LEAF LAKE TRCE  HELENA,Jefferson County,AL,350224364
148585,3485  MCCLENDON CHAPEL RD  BESSEMER,Jefferson County,AL,35022
148586,4106  PARADISE LN  BESSEMER,Jefferson County,AL,350226803
148587,4126  PARADISE LN  BESSEMER,Jefferson County,AL,350226803
148588,7106  DULCIE CIR  BESSEMER,Jefferson County,AL,350228811
148589,4294  PARADISE LN  BESSEMER,Jefferson County,AL,350226804
148590,7588  BLUFF RIDGE RD  BESSEMER,Jefferson County,AL,350224131
148591,4053  MCCLENDON CHAPEL RD  BESSEMER,Jefferson County,AL,350224149
148592,3700  LEE ROY LN  BESSEMER,Jefferson County,AL,35022
148593,3801  LEE ROY LN  BESSEMER,Jefferson County,AL,350224163
148594,3806  LEE ROY LN  BESSEMER,Jefferson County,AL,350224163
148595,3869  BLACK HAWK DR  BESSEMER,Jefferson County,AL,350227905
148596,1025  LAKEVIEW WAY  BESSEMER,Jefferson County,AL,350224400
148597,1059  LONG LEAF LAKE DR  HELENA,Jefferson County,AL,350224344
148598,1056  LONG LEAF LAKE DR  HELENA,Jefferson County,AL,350224343
148599,4863 S SHADES CREST RD  HELENA,Jefferson County,AL,350224312
148600,4869 S SHADES CREST RD  HELENA,Jefferson County,AL,350224312
148601,1114  LONG LEAF LAKE DR  HELENA,Jefferson County,AL,350224345
148602,1122  LONG LEAF LAKE DR  HELENA,Jefferson County,AL,350224345
148603,4925 S SHADES CREST RD  HELENA,Jefferson County,AL,350224313
148604,7801 S VIEW LN  BESSEMER,Jefferson County,AL,350224319
148605,7940  SADDLEWOOD DR  BESSEMER,Jefferson County,AL,350224193
148606,7739 S CREST TRL  BESSEMER,Jefferson County,AL,35022
148607,7731 S CREST TRL  BESSEMER,Jefferson County,AL,350224336
148608,7724 S CREST TRL  BESSEMER,Jefferson County,AL,350224337
148609,7874  SADDLEWOOD DR  BESSEMER,Jefferson County,AL,350224321
148610,528  STERLING LAKES WAY  HELENA,Jefferson County,AL,350224354
148611,112  STERLING ESTATES DR  BESSEMER,Jefferson County,AL,350224356
148612,111  STERLING ESTATES DR  HELENA,Jefferson County,AL,350224355
148613,1012  STERLING LAKES CIR  HELENA,Jefferson County,AL,350224358
148614,609  STERLING LAKES PASS  HELENA,Jefferson County,AL,350224360
