,street,county,state,zip
89109,3708  NORTHCOTE DR  MOUNTAIN BRK,Jefferson County,AL,352232703
89110,3704  NORTHCOTE DR  MOUNTAIN BRK,Jefferson County,AL,352232703
89111,3175  OVERTON CV  MOUNTAIN BRK,Jefferson County,AL,352232752
89112,3187  OVERTON CV  MOUNTAIN BRK,Jefferson County,AL,35223
89113,3317  STONERIDGE DR  MOUNTAIN BRK,Jefferson County,AL,352232855
89114,3299  OVERTON TRL  VESTAVIA,Jefferson County,AL,352434865
89115,3115  WELLINGTON PKWY  VESTAVIA,Jefferson County,AL,352434850
89116,1291  DAVENTRY CT  VESTAVIA,Jefferson County,AL,352434844
89117,1233  WELLINGTON CIR  VESTAVIA,Jefferson County,AL,352434845
89118,1221  WELLINGTON CIR  VESTAVIA,Jefferson County,AL,352434845
89119,1209  WELLINGTON CIR  VESTAVIA,Jefferson County,AL,352434845
89120,3136  WELLINGTON PKWY  VESTAVIA,Jefferson County,AL,352434848
89121,3736  WIMBLETON DR  MOUNTAIN BRK,Jefferson County,AL,352232730
89122,3733  WIMBLETON DR  MOUNTAIN BRK,Jefferson County,AL,352232729
89123,3753  WIMBLETON DR  MOUNTAIN BRK,Jefferson County,AL,352232756
89124,3712  WIMBLETON LN  MOUNTAIN BRK,Jefferson County,AL,352232732
89125,3789  VILLAGE LN  MOUNTAIN BRK,Jefferson County,AL,352232700
89126,3031  WEATHERTON DR  MOUNTAIN BRK,Jefferson County,AL,352232723
89127,3076  OVERTON RD  MOUNTAIN BRK,Jefferson County,AL,352232738
89128,3817  WILLIAMSBURG CIR  MOUNTAIN BRK,Jefferson County,AL,352435522
89129,2928  BROOK HOLLOW LN  MOUNTAIN BRK,Jefferson County,AL,352435932
89130,3012  BROOK HOLLOW LN  MOUNTAIN BRK,Jefferson County,AL,352435508
89131,3808  CROMWELL DR  MOUNTAIN BRK,Jefferson County,AL,352435511
89132,3801  BUCKINGHAM LN  MOUNTAIN BRK,Jefferson County,AL,352435520
89133,3821  BUCKINGHAM LN  MOUNTAIN BRK,Jefferson County,AL,352435520
89134,3824  BUCKINGHAM PL  MOUNTAIN BRK,Jefferson County,AL,352435517
89135,3813  CROMWELL DR  MOUNTAIN BRK,Jefferson County,AL,352435512
89136,3805  ARUNDEL DR  MOUNTAIN BRK,Jefferson County,AL,352435501
89137,3849  ARUNDEL DR  MOUNTAIN BRK,Jefferson County,AL,352435523
89138,3852  CROMWELL DR  MOUNTAIN BRK,Jefferson County,AL,352435514
89139,3957  KYLE LN  VESTAVIA,Jefferson County,AL,352435633
89140,3037  ASBURY LN  VESTAVIA,Jefferson County,AL,352435505
89141,3036  ASBURY PARK PL  VESTAVIA,Jefferson County,AL,352435609
89142,3020  ASBURY PARK PL  VESTAVIA,Jefferson County,AL,352435609
89143,3023  ASBURY PARK PL  VESTAVIA,Jefferson County,AL,352435610
89144,3922  ASBURY PARK LN  VESTAVIA,Jefferson County,AL,352435613
89145,3950  ASBURY PARK LN  VESTAVIA,Jefferson County,AL,352435613
89146,3912  ASBURY PARK CIR  VESTAVIA,Jefferson County,AL,352435615
89147,2908  CHRISTOPHER CT  VESTAVIA,Jefferson County,AL,352435617
