,street,county,state,zip
69307,640  OSCEOLA CIR  FAIRFIELD,Jefferson County,AL,350641116
69308,632  OSCEOLA CIR  FAIRFIELD,Jefferson County,AL,350641116
69309,6513  OSCEOLA CIR  FAIRFIELD,Jefferson County,AL,350641119
69310,6517  OSCEOLA CIR  FAIRFIELD,Jefferson County,AL,350641119
69311,721  AUTAUGA WAY  FAIRFIELD,Jefferson County,AL,350641102
69312,701  AUTAUGA WAY  FAIRFIELD,Jefferson County,AL,350641102
69313,6524  GRASSELLI RD  FAIRFIELD,Jefferson County,AL,350641107
69314,6625  GRASSELLI RD  FAIRFIELD,Jefferson County,AL,350641109
69315,6633  GRASSELLI RD  FAIRFIELD,Jefferson County,AL,350641109
69316,6641  GRASSELLI RD  FAIRFIELD,Jefferson County,AL,350641109
69317,6628  SEMINOLE DR  FAIRFIELD,Jefferson County,AL,350641130
69318,1224  POST OAK CIR  FAIRFIELD,Jefferson County,AL,350642836
69319,1209  POST OAK CIR  FAIRFIELD,Jefferson County,AL,350642837
69320,1411  CAMBRIDGE BLVD  FAIRFIELD,Jefferson County,AL,350642844
69321,1504  CAMBRIDGE BLVD  FAIRFIELD,Jefferson County,AL,350642841
69322,1480  CAMBRIDGE BLVD  FAIRFIELD,Jefferson County,AL,350642842
69323,1456  CAMBRIDGE BLVD  FAIRFIELD,Jefferson County,AL,350642843
69324,1309  CAMBRIDGE WAY  FAIRFIELD,Jefferson County,AL,350642838
69325,1447  CAMBRIDGE BLVD  FAIRFIELD,Jefferson County,AL,350642844
69326,1423  CAMBRIDGE BLVD  FAIRFIELD,Jefferson County,AL,350642844
69327,500  CHEROKEE CIR  FAIRFIELD,Jefferson County,AL,350641701
69328,6536  CHEROKEE DR  FAIRFIELD,Jefferson County,AL,350641703
69329,6516  CHEROKEE DR  FAIRFIELD,Jefferson County,AL,350641703
69330,6517  CHEROKEE DR  FAIRFIELD,Jefferson County,AL,350641704
69331,441  FOREST DR  FAIRFIELD,Jefferson County,AL,350641720
69332,324 W SMITHFIELD DR  DOLOMITE,Jefferson County,AL,350611002
69333,308 W SMITHFIELD DR  DOLOMITE,Jefferson County,AL,350611002
69334,1605  FIVE ACRE RD  DOLOMITE,Jefferson County,AL,350611036
69335,1522 W SMITHFIELD LN  DOLOMITE,Jefferson County,AL,350611008
69336,402 W SMITHFIELD TER  DOLOMITE,Jefferson County,AL,350611009
69337,422 W SMITHFIELD TER  DOLOMITE,Jefferson County,AL,350611009
69338,430 W SMITHFIELD TER  DOLOMITE,Jefferson County,AL,350611009
69339,434 W SMITHFIELD TER  DOLOMITE,Jefferson County,AL,350611009
69340,507 W SMITHFIELD TER  DOLOMITE,Jefferson County,AL,350611022
69341,1542 W SMITHFIELD RD  DOLOMITE,Jefferson County,AL,350611006
69342,1546 W SMITHFIELD RD  DOLOMITE,Jefferson County,AL,350611006
69343,1547 W SMITHFIELD RD  DOLOMITE,Jefferson County,AL,350611005
69344,415 W SMITHFIELD TER  DOLOMITE,Jefferson County,AL,350611021
69345,405 W SMITHFIELD DR  DOLOMITE,Jefferson County,AL,35061
69346,441 W SMITHFIELD DR  DOLOMITE,Jefferson County,AL,350611024
69347,440 W SMITHFIELD DR  DOLOMITE,Jefferson County,AL,350611003
69348,1612  FIVE ACRE RD  DOLOMITE,Jefferson County,AL,350611035
69349,3995  TURNER AVE  DOLOMITE,Jefferson County,AL,35061
69350,1733  FIVE ACRE RD  DOLOMITE,Jefferson County,AL,350611038
69351,1481  EDWARDS ST  DOLOMITE,Jefferson County,AL,350611029
69352,1429  EDWARDS ST  DOLOMITE,Jefferson County,AL,35061
69353,1548  PLEASANT GROVE RD  DOLOMITE,Jefferson County,AL,350611129
69354,3949  WALKER AVE  BESSEMER,Jefferson County,AL,35021
69355,3958  WALKER AVE  DOLOMITE,Jefferson County,AL,35061
69356,3501  THOMAS ST  DOLOMITE,Jefferson County,AL,350611222
69357,1325  MORROW ST  DOLOMITE,Jefferson County,AL,350611223
69358,1609  PLEASANT GROVE RD  DOLOMITE,Jefferson County,AL,35061
69359,3717  CHARLES ST  DOLOMITE,Jefferson County,AL,350611213
69360,1395  ROCK CREEK LN  PLEASANT GROVE,Jefferson County,AL,351273519
69361,1383  ROCK CREEK LN  PLEASANT GROVE,Jefferson County,AL,351273519
69362,1379  ROCK CREEK LN  PLEASANT GROVE,Jefferson County,AL,351273519
69363,1382  ROCK CREEK LN  PLEASANT GROVE,Jefferson County,AL,351273518
69364,1390  ROCK CREEK LN  PLEASANT GROVE,Jefferson County,AL,351273518
69365,1412  ROCK CREEK LN  PLEASANT GROVE,Jefferson County,AL,351273535
