,street,county,state,zip
108998,55  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051744
108999,55  HANOVER CIR S BIRMINGHAM,Jefferson County,AL,352051744
109000,2823  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051819
109001,731  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224430
109002,801  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224432
109003,819  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224432
109004,913  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224434
109005,839  LINWOOD CT  BIRMINGHAM,Jefferson County,AL,352224428
109006,4633  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352224414
109007,4441  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223727
109008,4420  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223728
109009,843  42ND ST S BIRMINGHAM,Jefferson County,AL,352223605
109010,845  42ND ST S BIRMINGHAM,Jefferson County,AL,352223605
109011,4313  OVERLOOK RD  BIRMINGHAM,Jefferson County,AL,352223743
109012,4340  OVERLOOK RD  BIRMINGHAM,Jefferson County,AL,352223744
109013,4225  WOODVALE RD  BIRMINGHAM,Jefferson County,AL,352222614
109014,4204  OVERLOOK DR  BIRMINGHAM,Jefferson County,AL,352223738
109015,4244  OVERLOOK DR  BIRMINGHAM,Jefferson County,AL,352223738
109016,910  ESSEX RD  BIRMINGHAM,Jefferson County,AL,352224341
109017,919  42ND ST S BIRMINGHAM,Jefferson County,AL,352224213
109018,4230  GLENWOOD AVE  BIRMINGHAM,Jefferson County,AL,352224302
109019,4238  GLENWOOD AVE  BIRMINGHAM,Jefferson County,AL,352224302
109020,803  ESSEX RD  BIRMINGHAM,Jefferson County,AL,352223729
109021,825  CONROY RD  BIRMINGHAM,Jefferson County,AL,352224422
109022,903  CONROY RD  BIRMINGHAM,Jefferson County,AL,352224424
109023,907  CONROY RD  BIRMINGHAM,Jefferson County,AL,352224424
109024,911  CONROY RD  BIRMINGHAM,Jefferson County,AL,352224424
109025,960  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224435
109026,934  LINWOOD RD  BIRMINGHAM,Jefferson County,AL,352224435
109027,644  39TH ST S BIRMINGHAM,Jefferson County,AL,352223306
109028,642  39TH ST S BIRMINGHAM,Jefferson County,AL,352223306
109029,3725  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222403
109030,3719  5TH AVE S BIRMINGHAM,Jefferson County,AL,35222
109031,3616  5TH AVE S BIRMINGHAM,Jefferson County,AL,352222402
109032,3522  7TH AVE S BIRMINGHAM,Jefferson County,AL,352223211
109033,3522  7TH CT S BIRMINGHAM,Jefferson County,AL,352223215
109034,608  37TH ST S BIRMINGHAM,Jefferson County,AL,352223204
109035,3713  6TH AVE S BIRMINGHAM,Jefferson County,AL,352222409
109036,3711  6TH AVE S BIRMINGHAM,Jefferson County,AL,35222
109037,617  37TH ST S BIRMINGHAM,Jefferson County,AL,352223203
109038,3923  8TH CT S BIRMINGHAM,Jefferson County,AL,352223614
109039,821  39TH PL S BIRMINGHAM,Jefferson County,AL,352223603
109040,4002  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223612
109041,4034  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223612
109042,4100  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223613
109043,4024  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223612
109044,805  39TH ST S BIRMINGHAM,Jefferson County,AL,352223620
109045,3615  8TH AVE S BIRMINGHAM,Jefferson County,AL,352223218
109046,3605  8TH AVE S BIRMINGHAM,Jefferson County,AL,352223252
109047,3618  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223508
109048,3845  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223607
109049,919  38TH ST S BIRMINGHAM,Jefferson County,AL,352223602
109050,3931  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223633
109051,3900  GLENWOOD AVE  BIRMINGHAM,Jefferson County,AL,352224204
109052,3916  GLENWOOD AVE  BIRMINGHAM,Jefferson County,AL,352224204
109053,4007  CLAIRMONT AVE S BIRMINGHAM,Jefferson County,AL,352223611
109054,4005  GLENWOOD AVE  BIRMINGHAM,Jefferson County,AL,352224215
109055,4002  10TH AVE S BIRMINGHAM,Jefferson County,AL,352224218
109056,3833  GLENWOOD AVE  BIRMINGHAM,Jefferson County,AL,352224201
109057,3823  GLENWOOD AVE  BIRMINGHAM,Jefferson County,AL,352224201
109058,3847  10TH AVE S BIRMINGHAM,Jefferson County,AL,352224205
109059,3811  10TH AVE S BIRMINGHAM,Jefferson County,AL,352224205
109060,3820  11TH AVE S BIRMINGHAM,Jefferson County,AL,352224209
109061,3842  11TH AVE S BIRMINGHAM,Jefferson County,AL,352224209
109062,3809  12TH CT S BIRMINGHAM,Jefferson County,AL,352224509
109063,3809  12TH CT S BIRMINGHAM,Jefferson County,AL,352224511
109064,3809  12TH CT S BIRMINGHAM,Jefferson County,AL,352224501
109065,3809  12TH CT S BIRMINGHAM,Jefferson County,AL,352224501
109066,3809  12TH CT S BIRMINGHAM,Jefferson County,AL,352224501
109067,3436  CLIFF RD S BIRMINGHAM,Jefferson County,AL,352051505
109068,3448  CLIFF RD S BIRMINGHAM,Jefferson County,AL,352051505
109069,3520  CLIFF RD S BIRMINGHAM,Jefferson County,AL,352051507
109070,3602  CLIFF RD S BIRMINGHAM,Jefferson County,AL,352051509
109071,1409  16TH ST N BIRMINGHAM,Jefferson County,AL,352042649
109072,1316  16TH ST N BIRMINGHAM,Jefferson County,AL,352042733
109073,1420  10TH CT N BIRMINGHAM,Jefferson County,AL,35203
109074,1413  12TH AVE N BIRMINGHAM,Jefferson County,AL,352045802
109075,207  22ND AVE W BIRMINGHAM,Jefferson County,AL,352041533
109076,300  16TH AVE N BIRMINGHAM,Jefferson County,AL,352042162
109077,12  16TH CT N BIRMINGHAM,Jefferson County,AL,352042032
109078,1536  2ND ST N BIRMINGHAM,Jefferson County,AL,352042127
109079,17  11TH CT W BIRMINGHAM,Jefferson County,AL,352042337
109080,716  24TH AVE W BIRMINGHAM,Jefferson County,AL,352041070
109081,728  24TH AVE W BIRMINGHAM,Jefferson County,AL,352041070
109082,728  FINLEY AVE W BIRMINGHAM,Jefferson County,AL,35204
109083,2123  8TH ST W BIRMINGHAM,Jefferson County,AL,352041411
109084,2137  ARKADELPHIA RD  BIRMINGHAM,Jefferson County,AL,352041301
109085,1119  16TH AVE W BIRMINGHAM,Jefferson County,AL,352041316
109086,814  16TH AVE W BIRMINGHAM,Jefferson County,AL,352041423
109087,100  THOMAS CIR  BIRMINGHAM,Jefferson County,AL,352146024
109088,156  OHIO CIR  BIRMINGHAM,Jefferson County,AL,352146022
109089,144  OHIO CIR  BIRMINGHAM,Jefferson County,AL,352146022
109090,112  OHIO CIR  BIRMINGHAM,Jefferson County,AL,352146022
109091,124  1ST ST  BIRMINGHAM,Jefferson County,AL,35214
109092,113  OHIO CIR  BIRMINGHAM,Jefferson County,AL,352146021
109093,113  THOMAS CIR  BIRMINGHAM,Jefferson County,AL,352146023
109094,129  THOMAS CIR  BIRMINGHAM,Jefferson County,AL,352146023
109095,210  2ND ST  BIRMINGHAM,Jefferson County,AL,35217
109096,129  1ST ST  BIRMINGHAM,Jefferson County,AL,35214
109097,1167  16TH AVE W BIRMINGHAM,Jefferson County,AL,352041316
109098,1159  16TH AVE W BIRMINGHAM,Jefferson County,AL,352041316
109099,1148  16TH AVE W BIRMINGHAM,Jefferson County,AL,352041317
109100,247  2ND ST  BIRMINGHAM,Jefferson County,AL,352171710
109101,338  3RD ST S BIRMINGHAM,Jefferson County,AL,35205
109102,225  2ND ST  BIRMINGHAM,Jefferson County,AL,35217
109103,221  2ND ST  BIRMINGHAM,Jefferson County,AL,35217
109104,368  3RD ST S BIRMINGHAM,Jefferson County,AL,35205
109105,323  3RD ST S BIRMINGHAM,Jefferson County,AL,35205
109106,341  3RD ST S BIRMINGHAM,Jefferson County,AL,35205
109107,522  5TH WAY  BIRMINGHAM,Jefferson County,AL,35214
109108,460  4TH ST W BIRMINGHAM,Jefferson County,AL,35204
109109,437  4TH ST  BIRMINGHAM,Jefferson County,AL,35217
109110,908  16TH AVE W BIRMINGHAM,Jefferson County,AL,352041313
109111,1600  ARKADELPHIA RD  BIRMINGHAM,Jefferson County,AL,352041324
109112,617  6TH PL  BIRMINGHAM,Jefferson County,AL,352145723
109113,728  13TH AVE W BIRMINGHAM,Jefferson County,AL,35204
109114,1204  8TH ST W BIRMINGHAM,Jefferson County,AL,35204
109115,1228  8TH ST W BIRMINGHAM,Jefferson County,AL,352041910
109116,1149  9TH ST W BIRMINGHAM,Jefferson County,AL,352041816
109117,725  11TH CT W BIRMINGHAM,Jefferson County,AL,352041920
109118,1451  BANKHEAD HWY W BIRMINGHAM,Jefferson County,AL,35214
109119,1339  3RD ST N BIRMINGHAM,Jefferson County,AL,35204
