speed,down_up,price,name,type,address,success
1200 Mbps,Download,70,Xfinity,Gigabit Extra,"Frederick County, Virginia, 22603, United States",True
35 Mbps,Upload,70,Xfinity,Gigabit Extra,"Frederick County, Virginia, 22603, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"Frederick County, Virginia, 22603, United States",True
1200 Mbps,Download,79.99,Xfinity,Gigabit,"Frederick County, Virginia, 22603, United States",True
35 Mbps,Upload,79.99,Xfinity,Gigabit,"Frederick County, Virginia, 22603, United States",True
1200 Mbps,Download,84.99,Xfinity,Gigabit,"Frederick County, Virginia, 22603, United States",True
35 Mbps,Upload,84.99,Xfinity,Gigabit,"Frederick County, Virginia, 22603, United States",True
1200 Mbps,Download,129.99,Xfinity,Signature+ More,"Frederick County, Virginia, 22603, United States",True
1200 Mbps,Download,149.99,Xfinity,Super+ More,"Frederick County, Virginia, 22603, United States",True
900 Mbps,Download,60,Xfinity,Ultrafast,"Frederick County, Virginia, 22603, United States",True
20 Mbps,Upload,60,Xfinity,Ultrafast,"Frederick County, Virginia, 22603, United States",True
900 Mbps,Download,69.99,Xfinity,Extreme Pro,"Frederick County, Virginia, 22603, United States",True
15 Mbps,Upload,69.99,Xfinity,Extreme Pro,"Frederick County, Virginia, 22603, United States",True
900 Mbps,Download,69.99,Xfinity,Extreme Pro,"Frederick County, Virginia, 22603, United States",True
900 Mbps,Download,74.99,Xfinity,Ultrafast,"Frederick County, Virginia, 22603, United States",True
20 Mbps,Upload,74.99,Xfinity,Ultrafast,"Frederick County, Virginia, 22603, United States",True
900 Mbps,Download,99.99,Xfinity,Select+ More,"Frederick County, Virginia, 22603, United States",True
900 Mbps,Download,119.99,Xfinity,Signature+,"Frederick County, Virginia, 22603, United States",True
900 Mbps,Download,139.99,Xfinity,Super+,"Frederick County, Virginia, 22603, United States",True
600 Mbps,Download,50,Xfinity,Superfast,"Frederick County, Virginia, 22603, United States",True
20 Mbps,Upload,50,Xfinity,Superfast,"Frederick County, Virginia, 22603, United States",True
600 Mbps,Download,59.99,Xfinity,Blast!,"Frederick County, Virginia, 22603, United States",True
10 Mbps,Upload,59.99,Xfinity,Blast!,"Frederick County, Virginia, 22603, United States",True
600 Mbps,Download,59.99,Xfinity,Blast!®,"Frederick County, Virginia, 22603, United States",True
600 Mbps,Download,64.99,Xfinity,Superfast,"Frederick County, Virginia, 22603, United States",True
20 Mbps,Upload,64.99,Xfinity,Superfast,"Frederick County, Virginia, 22603, United States",True
600 Mbps,Download,89.99,Xfinity,Select+,"Frederick County, Virginia, 22603, United States",True
300 Mbps,Download,39.99,Xfinity,Performance Pro,"Frederick County, Virginia, 22603, United States",True
300 Mbps,Download,39.99,Xfinity,Performance Pro,"Frederick County, Virginia, 22603, United States",True
300 Mbps,Download,49.99,Xfinity,Fast,"Frederick County, Virginia, 22603, United States",True
10 Mbps,Upload,49.99,Xfinity,Fast,"Frederick County, Virginia, 22603, United States",True
300 Mbps,Download,54.99,Xfinity,Choice Double Play + Speed Increase to Performance Pro Internet,"Frederick County, Virginia, 22603, United States",True
300 Mbps,Download,79.99,Xfinity,Standard+,"Frederick County, Virginia, 22603, United States",True
300 Mbps,Download,89.99,Xfinity,Standard+ More,"Frederick County, Virginia, 22603, United States",True
100 Mbps,Download,40,Xfinity,Connect More,"Frederick County, Virginia, 22603, United States",True
5 Mbps,Upload,40,Xfinity,Connect More,"Frederick County, Virginia, 22603, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"Frederick County, Virginia, 22603, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"Frederick County, Virginia, 22603, United States",True
50 Mbps,Download,19.99,Xfinity,Connect,"Frederick County, Virginia, 22603, United States",True
10 Mbps,Upload,19.99,Xfinity,Connect,"Frederick County, Virginia, 22603, United States",True
50 Mbps,Download,20,Xfinity,Connect,"Frederick County, Virginia, 22603, United States",True
5 Mbps,Upload,20,Xfinity,Connect,"Frederick County, Virginia, 22603, United States",True
50 Mbps,Download,29.99,Xfinity,Performance Starter,"Frederick County, Virginia, 22603, United States",True
5 Mbps,Upload,29.99,Xfinity,Performance Starter,"Frederick County, Virginia, 22603, United States",True
50 Mbps,Download,65,Xfinity,Performance Starter Internet,"Frederick County, Virginia, 22603, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Frederick County, Virginia, 22603, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"Frederick County, Virginia, 22603, United States",True
