,street,county,state,zip
188120,1765  PEARSON AVE SW BIRMINGHAM,Jefferson County,AL,352112520
188121,1769  MCMILLON AVE SW BIRMINGHAM,Jefferson County,AL,352113302
188122,908  17TH PL SW BIRMINGHAM,Jefferson County,AL,352113305
188123,1408  17TH PL SW BIRMINGHAM,Jefferson County,AL,352114216
188124,1328  17TH PL SW BIRMINGHAM,Jefferson County,AL,352114215
188125,1318  17TH PL SW BIRMINGHAM,Jefferson County,AL,352114215
188126,1317  17TH PL SW BIRMINGHAM,Jefferson County,AL,352114214
188127,1333  17TH PL SW BIRMINGHAM,Jefferson County,AL,352114214
188128,1329  HALL ST SW BIRMINGHAM,Jefferson County,AL,352113718
188129,1625  DENNISON AVE SW BIRMINGHAM,Jefferson County,AL,352113713
188130,1321  16TH PL SW BIRMINGHAM,Jefferson County,AL,352113705
188131,1317  16TH PL SW BIRMINGHAM,Jefferson County,AL,352113705
188132,1333  16TH PL SW BIRMINGHAM,Jefferson County,AL,352113705
188133,1620  CENTER ST S BIRMINGHAM,Jefferson County,AL,352055716
188134,55  6TH AVE SW BIRMINGHAM,Jefferson County,AL,352112958
188135,724  CENTER PL SW BIRMINGHAM,Jefferson County,AL,352112926
188136,608  CENTER PL SW BIRMINGHAM,Jefferson County,AL,352112924
188137,632  GOLDWIRE WAY SW BIRMINGHAM,Jefferson County,AL,352112829
188138,641  GOLDWIRE WAY SW BIRMINGHAM,Jefferson County,AL,352112830
188139,212  10TH AVE SW BIRMINGHAM,Jefferson County,AL,352112805
188140,904  GOLDWIRE ST SW BIRMINGHAM,Jefferson County,AL,352112964
188141,604  GOLDWIRE ST SW BIRMINGHAM,Jefferson County,AL,352112959
188142,620  MCCARY ST SW BIRMINGHAM,Jefferson County,AL,352112941
188143,713  CENTER PL SW BIRMINGHAM,Jefferson County,AL,352112927
188144,737  CENTER PL SW BIRMINGHAM,Jefferson County,AL,352112927
188145,849  LINCOLN ST SW BIRMINGHAM,Jefferson County,AL,352112940
188146,101  9TH AVE SW BIRMINGHAM,Jefferson County,AL,352112920
188147,113  9TH AVE SW BIRMINGHAM,Jefferson County,AL,352112920
