,street,county,state,zip
19802,307  HIGHLAND DR  MIDFIELD,Jefferson County,AL,352282001
19803,402  NEWTON DR  MIDFIELD,Jefferson County,AL,352282012
19804,501  WESTFIELD DR  FAIRFIELD,Jefferson County,AL,350641555
19805,611  WESTFIELD DR  FAIRFIELD,Jefferson County,AL,350641557
19806,623  WESTFIELD DR  FAIRFIELD,Jefferson County,AL,350641557
19807,307  NEWTON DR  MIDFIELD,Jefferson County,AL,352282009
19808,406  SWANN DR  MIDFIELD,Jefferson County,AL,352282026
19809,801  SWANN DR  BIRMINGHAM,Jefferson County,AL,352281931
19810,303  SWANN DR  MIDFIELD,Jefferson County,AL,352282023
19811,205  SWANN DR  BIRMINGHAM,Jefferson County,AL,35242
19812,1000  RUTLEDGE DR  MIDFIELD,Jefferson County,AL,352282537
19813,704  OAKLAND DR  FAIRFIELD,Jefferson County,AL,350641533
19814,606  8TH ST  MIDFIELD,Jefferson County,AL,352282504
19815,604  8TH ST  MIDFIELD,Jefferson County,AL,352282504
19816,703  5TH AVE  MIDFIELD,Jefferson County,AL,352282545
19817,509  8TH AVE  MIDFIELD,Jefferson County,AL,352282914
19818,620  7TH AVE  MIDFIELD,Jefferson County,AL,352282902
19819,939  RUTLEDGE DR  FAIRFIELD,Jefferson County,AL,350641550
19820,943  RUTLEDGE DR  FAIRFIELD,Jefferson County,AL,350641550
19821,908  OAKLAND DR  FAIRFIELD,Jefferson County,AL,350641537
19822,912  HILLANDALE DR  FAIRFIELD,Jefferson County,AL,350641529
19823,908  GLEN OAK DR  FAIRFIELD,Jefferson County,AL,350641510
19824,913  HILLANDALE DR  FAIRFIELD,Jefferson County,AL,350641530
19825,921  HILLANDALE DR  FAIRFIELD,Jefferson County,AL,350641530
19826,812  OAKLAND DR  FAIRFIELD,Jefferson County,AL,350641535
19827,1025  GLEN OAK DR  FAIRFIELD,Jefferson County,AL,350641513
19828,1029  GLEN OAK DR  FAIRFIELD,Jefferson County,AL,350641513
19829,1057  GLEN OAK DR  FAIRFIELD,Jefferson County,AL,350641513
19830,1113  GLEN OAK DR  FAIRFIELD,Jefferson County,AL,350641515
19831,813  OAKLAND DR  FAIRFIELD,Jefferson County,AL,350641536
19832,1021  HILLANDALE DR  FAIRFIELD,Jefferson County,AL,350641532
19833,716  RUTLEDGE DR  MIDFIELD,Jefferson County,AL,352282536
19834,713  7TH AVE  MIDFIELD,Jefferson County,AL,352282903
19835,706  8TH AVE  MIDFIELD,Jefferson County,AL,352282919
19836,809  7TH AVE  MIDFIELD,Jefferson County,AL,352282836
19837,617  8TH AVE  MIDFIELD,Jefferson County,AL,352282916
19838,600  9TH AVE  MIDFIELD,Jefferson County,AL,352282925
19839,505  8TH AVE  MIDFIELD,Jefferson County,AL,352282914
19840,1005  RUTLEDGE WAY  FAIRFIELD,Jefferson County,AL,350641552
19841,304  ENGLEWOOD DR  FAIRFIELD,Jefferson County,AL,350642411
19842,316  ENGLEWOOD DR  FAIRFIELD,Jefferson County,AL,350642411
19843,7413  DOGWOOD LN  FAIRFIELD,Jefferson County,AL,350642453
19844,309  ENGLEWOOD DR  FAIRFIELD,Jefferson County,AL,350642412
19845,221  FAIR OAKS DR  FAIRFIELD,Jefferson County,AL,350642416
19846,7308  WESTMORELAND DR  FAIRFIELD,Jefferson County,AL,350642447
19847,7513  WHITE OAK RD  FAIRFIELD,Jefferson County,AL,350642456
19848,140  HICKORY CIR  FAIRFIELD,Jefferson County,AL,350642458
19849,7324  PINE TREE LN  FAIRFIELD,Jefferson County,AL,350642437
19850,124  PINE TREE CIR  FAIRFIELD,Jefferson County,AL,350642429
19851,6812  CHEROKEE DR  FAIRFIELD,Jefferson County,AL,350641710
19852,1120  RED OAK CIR  FAIRFIELD,Jefferson County,AL,350641047
19853,1124  RED OAK CIR  FAIRFIELD,Jefferson County,AL,350641047
19854,1128  RED OAK CIR  FAIRFIELD,Jefferson County,AL,350641047
19855,1132  RED OAK CIR  FAIRFIELD,Jefferson County,AL,350641047
19856,1157  OLE OAK LN  FAIRFIELD,Jefferson County,AL,350641046
19857,1153  OLE OAK LN  FAIRFIELD,Jefferson County,AL,350641046
