speed,down_up,price,name,type,address,success
1000 Mbps,Download,139.95,Rochester Telephone Company,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
200 Mbps,Upload,139.95,Rochester Telephone Company,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
250 Mbps,Download,99.95,Rochester Telephone Company,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
50 Mbps,Upload,99.95,Rochester Telephone Company,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
115 Mbps,Download,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
23 Mbps,Upload,50,T-Mobile 5G Home Internet,Home Internet w/ Autopay,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
115 Mbps,Download,55,T-Mobile 5G Home Internet,Home Internet,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
23 Mbps,Upload,55,T-Mobile 5G Home Internet,Home Internet,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
100 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 100,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
100 Mbps,Download,169.99,Viasat Internet,Unlimited Platinum 100,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
80 Mbps,Download,69.95,Rochester Telephone Company,Enthusiast,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
20 Mbps,Upload,69.95,Rochester Telephone Company,Enthusiast,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
50 Mbps,Download,59.95,Rochester Telephone Company,Advanced,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
15 Mbps,Upload,59.95,Rochester Telephone Company,Advanced,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
50 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 50,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
50 Mbps,Download,119.99,Viasat Internet,Unlimited Gold 50,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
50 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 50,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
30 Mbps,Download,99.99,Viasat Internet,Unlimited Gold 30,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
30 Mbps,Download,149.99,Viasat Internet,Unlimited Platinum 30,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,39.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,39.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,44.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,44.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,49.95,Rochester Telephone Company,Premier,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
5 Mbps,Upload,49.95,Rochester Telephone Company,Premier,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,49.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,49.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,54.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,54.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,59.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,59.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,64.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,69.99,Viasat Internet,Unlimited Silver 25,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,69.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,69.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,74.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,74.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,79.95,Rochester Telephone Company,Gamer,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,79.95,Rochester Telephone Company,Gamer,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,79.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,79.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,84.99,Viasat Internet,Unlimited Silver 25,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,89.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,89.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,99.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,109.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,109.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,139.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,139.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,149,Fourway.net,Residential 4K Ready,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
6 Mbps,Upload,149,Fourway.net,Residential 4K Ready,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
25 Mbps,Download,159.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
3 Mbps,Upload,159.99,HughesNet,Internet Only,"East 200 North; West 1000 South, Fulton County, Indiana, United States",True
