,street,county,state,zip
79208,3332  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681556
79209,3320  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681556
79210,3296  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350686065
79211,3275  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350686059
79212,3331  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
79213,3335  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
79214,3339  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
79215,3413  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681597
79216,566  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350686004
79217,593  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350686003
79218,585  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350686003
79219,3391  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681596
79220,556  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681593
79221,516  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681593
79222,464  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681590
79223,460  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681590
79224,511  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681594
79225,515  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681594
79226,3135  ENCLAVE LN  FULTONDALE,Jefferson County,AL,350686002
79227,400  ENCLAVE CIR  FULTONDALE,Jefferson County,AL,350681590
79228,501  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350681589
79229,527  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350681589
79230,512  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350681588
79231,520  OVERLOOK RD  FULTONDALE,Jefferson County,AL,350681588
79232,3418  CHAPEL HILLS PKWY  FULTONDALE,Jefferson County,AL,350681595
79233,2308  MCEL AVE  FULTONDALE,Jefferson County,AL,350681555
79234,233  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686080
79235,257  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686080
79236,269  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686080
79237,258  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686079
79238,254  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686079
79239,250  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686079
79240,224  CHAPEL HILL TRL  FULTONDALE,Jefferson County,AL,350686079
79241,391 W PARK DR  FULTONDALE,Jefferson County,AL,350686073
79242,403 W PARK DR  FULTONDALE,Jefferson County,AL,350686074
79243,5816  WOODWARD RD  MOUNT OLIVE,Jefferson County,AL,351173520
79244,5601  JOE NAIL RD  MOUNT OLIVE,Jefferson County,AL,351173525
79245,2258  BROOKSIDE RD  MOUNT OLIVE,Jefferson County,AL,351173541
79246,2259  BROOKSIDE RD  MOUNT OLIVE,Jefferson County,AL,351173504
79247,5550  LINNS CROSSING RD  GRAYSVILLE,Jefferson County,AL,35073
79248,5625  LINNS CROSSING RD  GRAYSVILLE,Jefferson County,AL,35073
79249,5529  OLD JASPER HWY  GRAYSVILLE,Jefferson County,AL,350739784
79250,2320  BROOKSIDE RD  MOUNT OLIVE,Jefferson County,AL,351173505
79251,1008  QUAIL RUN  TRUSSVILLE,Jefferson County,AL,351731938
79252,1020  QUAIL RUN  TRUSSVILLE,Jefferson County,AL,351731938
79253,1007  QUAIL RUN  TRUSSVILLE,Jefferson County,AL,351731937
79254,1001  QUAIL RUN  TRUSSVILLE,Jefferson County,AL,351731937
79255,3619  QUEENSTOWN RD  TRUSSVILLE,Jefferson County,AL,351732002
79256,6790  ROPER RD  TRUSSVILLE,Jefferson County,AL,351732317
79257,6501  IVY WAY  TRUSSVILLE,Jefferson County,AL,35173
79258,183  MAIN ST  TRUSSVILLE,Jefferson County,AL,351731495
79259,24  CEDAR ST  TRUSSVILLE,Jefferson County,AL,35173
