,street,county,state,zip
138615,23  NORMAN DR  MOUNTAIN BRK,Jefferson County,AL,352134328
138616,25  WINTHROP AVE  MOUNTAIN BRK,Jefferson County,AL,352134331
138617,19  WINTHROP AVE  MOUNTAIN BRK,Jefferson County,AL,352134331
138618,3740  COUNTRY CLUB DR  BIRMINGHAM,Jefferson County,AL,352132862
138619,5  GAYWOOD CIR  MOUNTAIN BRK,Jefferson County,AL,352133629
138620,20  GAYWOOD CIR  MOUNTAIN BRK,Jefferson County,AL,352133630
138621,10  GAYWOOD CIR  MOUNTAIN BRK,Jefferson County,AL,352133630
138622,2213  BROOKSHIRE PL  MOUNTAIN BRK,Jefferson County,AL,352133644
138623,2300  BROOKSHIRE PL  MOUNTAIN BRK,Jefferson County,AL,352133645
138624,2318  BROOKSHIRE PL  MOUNTAIN BRK,Jefferson County,AL,352133645
138625,10  RIDGE DR  MOUNTAIN BRK,Jefferson County,AL,352133632
138626,14  RIDGE DR  MOUNTAIN BRK,Jefferson County,AL,352133632
138627,36  RIDGE DR  MOUNTAIN BRK,Jefferson County,AL,35213
138628,3605  RIDGEVIEW DR W MOUNTAIN BRK,Jefferson County,AL,352133619
138629,3620  RIDGEVIEW DR W MOUNTAIN BRK,Jefferson County,AL,352133620
138630,320  CROSS RIDGE RD  MOUNTAIN BRK,Jefferson County,AL,352133608
138631,49  RIDGE DR  MOUNTAIN BRK,Jefferson County,AL,352133633
138632,25  RIDGE DR  MOUNTAIN BRK,Jefferson County,AL,352133633
138633,5  ROCKDELL LN  MOUNTAIN BRK,Jefferson County,AL,352134103
138634,15  RIDGE DR  MOUNTAIN BRK,Jefferson County,AL,352133631
138635,3  RIDGE DR  MOUNTAIN BRK,Jefferson County,AL,352133631
138636,8  ROCKLEDGE RD  MOUNTAIN BRK,Jefferson County,AL,352134106
138637,10  ROCKDELL LN  MOUNTAIN BRK,Jefferson County,AL,352134109
138638,3541  LENOX RD  MOUNTAIN BRK,Jefferson County,AL,352132843
138639,3505  REDMONT RD  BIRMINGHAM,Jefferson County,AL,352132835
138640,3508  COUNTRY CLUB RD  BIRMINGHAM,Jefferson County,AL,352132824
138641,3518  LENOX RD  BIRMINGHAM,Jefferson County,AL,352132822
138642,3526  LENOX RD  BIRMINGHAM,Jefferson County,AL,352132822
138643,3325 ,Jefferson County,AL,352052109
138644,3452  ARGYLE RD  BIRMINGHAM,Jefferson County,AL,352132849
138645,3536  REDMONT RD  BIRMINGHAM,Jefferson County,AL,352132836
138646,1431  33RD ST S BIRMINGHAM,Jefferson County,AL,352052107
138647,3350 ,Jefferson County,AL,352052190
138648,3350 ,Jefferson County,AL,352052192
138649,3350 ,Jefferson County,AL,352052193
138650,3350 ,Jefferson County,AL,352058101
138651,3350 ,Jefferson County,AL,352058102
138652,3350 ,Jefferson County,AL,352052195
138653,3300  PAWNEE AVE S BIRMINGHAM,Jefferson County,AL,352052166
138654,3300  PAWNEE AVE S BIRMINGHAM,Jefferson County,AL,352052166
138655,1329  31ST ST S BIRMINGHAM,Jefferson County,AL,352052065
138656,3100  PAWNEE AVE S BIRMINGHAM,Jefferson County,AL,352052116
138657,3195  ARGYLE RD  BIRMINGHAM,Jefferson County,AL,352133438
138658,1400  AVON CIR  BIRMINGHAM,Jefferson County,AL,352133412
138659,1416  WELLINGTON RD  BIRMINGHAM,Jefferson County,AL,352133432
138660,3234  CARLISLE RD  BIRMINGHAM,Jefferson County,AL,352133424
138661,3216  STERLING RD  MOUNTAIN BRK,Jefferson County,AL,352133508
138662,3220  STERLING RD  MOUNTAIN BRK,Jefferson County,AL,352133508
138663,3522  SALISBURY RD  MOUNTAIN BRK,Jefferson County,AL,352133502
138664,3620  COUNTRY CLUB RD  MOUNTAIN BRK,Jefferson County,AL,352132823
138665,3121  CARLISLE RD  BIRMINGHAM,Jefferson County,AL,352133421
138666,3105  CARLISLE RD  BIRMINGHAM,Jefferson County,AL,352133421
138667,2935  CARLISLE RD  BIRMINGHAM,Jefferson County,AL,352133400
138668,2917  CARLISLE RD  BIRMINGHAM,Jefferson County,AL,352133400
138669,3040  STERLING RD  MOUNTAIN BRK,Jefferson County,AL,352133522
138670,3200  SALISBURY RD  MOUNTAIN BRK,Jefferson County,AL,352133515
138671,3236  SALISBURY RD  MOUNTAIN BRK,Jefferson County,AL,352133515
138672,2600  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051765
138673,2600  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051765
138674,2620  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051724
138675,2620  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051724
138676,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051755
138677,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051725
138678,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051735
138679,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051725
138680,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051730
138681,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051725
138682,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051735
138683,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051725
138684,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051725
138685,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051725
138686,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051735
138687,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051735
138688,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051763
138689,2717  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051725
138690,2625  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051768
138691,2625  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051767
138692,2625  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051767
138693,2727  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051761
138694,2727  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051748
138695,2727  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051761
138696,2727  HIGHLAND AVE S BIRMINGHAM,Jefferson County,AL,352051758
138697,1308  28TH ST S BIRMINGHAM,Jefferson County,AL,352051841
138698,1318  28TH ST S BIRMINGHAM,Jefferson County,AL,352051841
138699,1324  28TH ST S BIRMINGHAM,Jefferson County,AL,352051841
138700,1326  28TH ST S BIRMINGHAM,Jefferson County,AL,352051841
138701,1334  28TH ST S BIRMINGHAM,Jefferson County,AL,352051842
138702,1342  28TH ST S BIRMINGHAM,Jefferson County,AL,352051842
138703,2809  13TH AVE S BIRMINGHAM,Jefferson County,AL,352051854
138704,2809  13TH AVE S BIRMINGHAM,Jefferson County,AL,352051858
138705,2809  13TH AVE S BIRMINGHAM,Jefferson County,AL,352051854
138706,2809  13TH AVE S BIRMINGHAM,Jefferson County,AL,352051856
138707,3023  13TH AVE S BIRMINGHAM,Jefferson County,AL,352052068
138708,2900  REDMONT PARK CIR  BIRMINGHAM,Jefferson County,AL,352052155
138709,2900  REDMONT PARK CIR  BIRMINGHAM,Jefferson County,AL,352052155
138710,2900  REDMONT PARK CIR  BIRMINGHAM,Jefferson County,AL,352052156
138711,2900  REDMONT PARK CIR  BIRMINGHAM,Jefferson County,AL,352052156
138712,2912  REDMONT PARK LN  BIRMINGHAM,Jefferson County,AL,352052136
138713,2928  REDMONT PARK LN  BIRMINGHAM,Jefferson County,AL,352052136
138714,2931  REDMONT PARK LN  BIRMINGHAM,Jefferson County,AL,352052159
138715,2936  REDMONT PARK LN  BIRMINGHAM,Jefferson County,AL,352052136
138716,2940  REDMONT PARK LN  BIRMINGHAM,Jefferson County,AL,352052136
138717,2727  NIAZUMA AVE S BIRMINGHAM,Jefferson County,AL,352052560
138718,1301  27TH PL S BIRMINGHAM,Jefferson County,AL,352052574
138719,1429  SMOLIAN PL  BIRMINGHAM,Jefferson County,AL,35205
138720,2820  STRATFORD RD  BIRMINGHAM,Jefferson County,AL,352133430
138721,1300  27TH PL S BIRMINGHAM,Jefferson County,AL,352052550
138722,1300  27TH PL S BIRMINGHAM,Jefferson County,AL,352052550
138723,1300  27TH PL S BIRMINGHAM,Jefferson County,AL,352052550
138724,1300  27TH PL S BIRMINGHAM,Jefferson County,AL,352052550
138725,1300  27TH PL S BIRMINGHAM,Jefferson County,AL,352052566
138726,1509  MILNER CRES S BIRMINGHAM,Jefferson County,AL,352052917
138727,1241  23RD ST S BIRMINGHAM,Jefferson County,AL,352052905
138728,1791  49TH ST  BIRMINGHAM,Jefferson County,AL,352085152
138729,216  26TH ST SW BIRMINGHAM,Jefferson County,AL,352113107
138730,236  25TH ST SW BIRMINGHAM,Jefferson County,AL,352113101
138731,228 S PARK RD SW BIRMINGHAM,Jefferson County,AL,352113039
138732,2403  SAINT CHARLES AVE SW BIRMINGHAM,Jefferson County,AL,352113129
138733,2507  SAINT CHARLES AVE SW BIRMINGHAM,Jefferson County,AL,352113131
138734,2519  SAINT CHARLES AVE SW BIRMINGHAM,Jefferson County,AL,352113131
138735,312  25TH ST SW BIRMINGHAM,Jefferson County,AL,352113103
138736,318  26TH ST SW BIRMINGHAM,Jefferson County,AL,352113109
138737,2414  PRINCETON AVE SW BIRMINGHAM,Jefferson County,AL,352113143
138738,2732  PRINCETON AVE SW BIRMINGHAM,Jefferson County,AL,352113149
138739,2740  PRINCETON AVE SW BIRMINGHAM,Jefferson County,AL,352113149
138740,505  28TH ST SW BIRMINGHAM,Jefferson County,AL,352113435
138741,537  28TH ST SW BIRMINGHAM,Jefferson County,AL,352113435
138742,652  27TH ST SW BIRMINGHAM,Jefferson County,AL,352113432
138743,628  27TH ST SW BIRMINGHAM,Jefferson County,AL,352113432
