speed,down_up,price,name,type,address,success
5000 Mbps,Download,180,AT&T Fiber,Internet 5000,"4003, Foster Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",True
5000 Mbps,Upload,180,AT&T Fiber,Internet 5000,"4003, Foster Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",True
1200 Mbps,Download,149.99,Xfinity,Super+ More,"4003, Foster Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",True
940 Mbps,Download,70,CenturyLink Fiber Gigabit,,"4003, Foster Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",True
940 Mbps,Upload,70,CenturyLink Fiber Gigabit,,"4003, Foster Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",True
